"","mean.[ALL]","sd.[ALL]","med.[ALL]","Q1.[ALL]","Q3.[ALL]","n.[ALL]","prop.[ALL]","inc.[ALL]","lower.[ALL]","upper.[ALL]","mean.No CH-PD","sd.No CH-PD","med.No CH-PD","Q1.No CH-PD","Q3.No CH-PD","n.No CH-PD","prop.No CH-PD","inc.No CH-PD","lower.No CH-PD","upper.No CH-PD","mean.Non-DDR CH-PD","sd.Non-DDR CH-PD","med.Non-DDR CH-PD","Q1.Non-DDR CH-PD","Q3.Non-DDR CH-PD","n.Non-DDR CH-PD","prop.Non-DDR CH-PD","inc.Non-DDR CH-PD","lower.Non-DDR CH-PD","upper.Non-DDR CH-PD","mean.DDR CH-PD","sd.DDR CH-PD","med.DDR CH-PD","Q1.DDR CH-PD","Q3.DDR CH-PD","n.DDR CH-PD","prop.DDR CH-PD","inc.DDR CH-PD","lower.DDR CH-PD","upper.DDR CH-PD"
"Primary Tumor Subtype: Non-Small Cell Lung Cancer",NA,NA,NA,NA,NA,325,0.148063781321185,NA,0.988713774425777,1,NA,NA,NA,NA,NA,234,0.72,NA,0.667787968857711,0.768150982295503,NA,NA,NA,NA,NA,65,0.2,NA,0.157882495348064,0.247681302036666,NA,NA,NA,NA,NA,26,0.08,NA,0.0529226626336863,0.115022068270131
"Primary Tumor Subtype: Other",NA,NA,NA,NA,NA,399,0.181776765375854,NA,0.990797294576596,1,NA,NA,NA,NA,NA,310,0.776942355889724,NA,0.732863711727379,0.816857788713055,NA,NA,NA,NA,NA,65,0.162907268170426,NA,0.128035713938804,0.202870397691473,NA,NA,NA,NA,NA,24,0.0601503759398496,NA,0.0389159995660862,0.0881795660480557
"Primary Tumor Subtype: Pancreatic Cancer",NA,NA,NA,NA,NA,83,0.0378132118451025,NA,0.956528847833558,1,NA,NA,NA,NA,NA,61,0.734939759036145,NA,0.626638758158077,0.825845362566032,NA,NA,NA,NA,NA,13,0.156626506024096,NA,0.0861187487432563,0.252933102120578,NA,NA,NA,NA,NA,9,0.108433734939759,NA,0.0507970643395482,0.195885662617717
"Primary Tumor Subtype: Prostate Cancer",NA,NA,NA,NA,NA,160,0.0728929384965831,NA,0.977208250544534,1,NA,NA,NA,NA,NA,113,0.70625,NA,0.629170313250924,0.775513135772193,NA,NA,NA,NA,NA,34,0.2125,NA,0.151877115501752,0.284082602647276,NA,NA,NA,NA,NA,13,0.08125,NA,0.0439715304299064,0.134932338822576
"Primary Tumor Subtype: Soft Tissue Sarcoma",NA,NA,NA,NA,NA,97,0.0441913439635535,NA,0.962684363091264,1,NA,NA,NA,NA,NA,81,0.835051546391753,NA,0.745998813383347,0.902675348645781,NA,NA,NA,NA,NA,12,0.123711340206186,NA,0.0655874383951639,0.206129590616395,NA,NA,NA,NA,NA,4,0.0412371134020618,NA,0.0113482725688341,0.10222746629841
"Primary Tumor Subtype: Thyroid Cancer",NA,NA,NA,NA,NA,50,0.0227790432801822,NA,0.928878263535802,1,NA,NA,NA,NA,NA,33,0.66,NA,0.512347512278412,0.787945286564618,NA,NA,NA,NA,NA,9,0.18,NA,0.0857620781096636,0.31436941128565,NA,NA,NA,NA,NA,8,0.16,NA,0.0717007671832862,0.291126306595111
"Days between XRT and blood draw",NA,NA,267,36,833.5,NA,NA,NA,238,295,NA,NA,254,29.5,808,NA,NA,NA,217,284,NA,NA,355,59,1100.75,NA,NA,NA,304,439,NA,NA,212,60,565,NA,NA,NA,151,308
"Modality: IMRT",NA,NA,NA,NA,NA,787,0.358542141230068,NA,0.995323700681307,1,NA,NA,NA,NA,NA,608,0.772554002541296,NA,0.741640585851283,0.801409502133188,NA,NA,NA,NA,NA,121,0.153748411689962,NA,0.129247112779457,0.180875588567549,NA,NA,NA,NA,NA,58,0.0736975857687421,NA,0.0564341257869422,0.0942322695442548
"Modality: 3D",NA,NA,NA,NA,NA,308,0.140318906605923,NA,0.988094556015495,1,NA,NA,NA,NA,NA,238,0.772727272727273,NA,0.721793930975265,0.818329199745485,NA,NA,NA,NA,NA,41,0.133116883116883,NA,0.0972483601974278,0.176227213376526,NA,NA,NA,NA,NA,29,0.0941558441558442,NA,0.0639669692975589,0.132421175488337
"Modality: Conventional",NA,NA,NA,NA,NA,46,0.0209567198177677,NA,0.922938172948099,1,NA,NA,NA,NA,NA,37,0.804347826086957,NA,0.660852400489002,0.906424265578592,NA,NA,NA,NA,NA,6,0.130434782608696,NA,0.04940734657371,0.262565016187627,NA,NA,NA,NA,NA,3,0.0652173913043478,NA,0.0136567719134456,0.178964388872751
"Modality: VMAT",NA,NA,NA,NA,NA,263,0.119817767653759,NA,0.986071750635165,1,NA,NA,NA,NA,NA,200,0.760456273764259,NA,0.704196725900405,0.810742295717727,NA,NA,NA,NA,NA,42,0.159695817490494,NA,0.117583494156013,0.209669709391428,NA,NA,NA,NA,NA,21,0.0798479087452472,NA,0.0501053422773456,0.119466996047195
"Modality: Multiple",NA,NA,NA,NA,NA,560,0.255125284738041,NA,0.993434363859386,1,NA,NA,NA,NA,NA,438,0.782142857142857,NA,0.745617144765555,0.815660387815905,NA,NA,NA,NA,NA,85,0.151785714285714,NA,0.123076469526054,0.184225611986925,NA,NA,NA,NA,NA,37,0.0660714285714286,NA,0.0469434805456291,0.0899236094871261
"Modality: Unknown",NA,NA,NA,NA,NA,231,0.105239179954442,NA,0.984157656123442,1,NA,NA,NA,NA,NA,170,0.735930735930736,NA,0.674113755667354,0.791582790551986,NA,NA,NA,NA,NA,51,0.220779220779221,NA,0.169024703304012,0.279850687317521,NA,NA,NA,NA,NA,10,0.0432900432900433,NA,0.020951540814553,0.0781690640409916
"Anatomic site: Abdomen",NA,NA,NA,NA,NA,124,0.0564920273348519,NA,0.970689118910225,1,NA,NA,NA,NA,NA,95,0.766129032258065,NA,0.681693725440868,0.83743603089206,NA,NA,NA,NA,NA,17,0.137096774193548,NA,0.0819377811056737,0.210408856415345,NA,NA,NA,NA,NA,12,0.0967741935483871,NA,0.0510112741560269,0.162943772033714
"Anatomic site: Arm Leg",NA,NA,NA,NA,NA,49,0.0223234624145786,NA,0.927480736335723,1,NA,NA,NA,NA,NA,40,0.816326530612245,NA,0.679778785571131,0.912409664687153,NA,NA,NA,NA,NA,6,0.122448979591837,NA,0.0462890310818958,0.247692968359683,NA,NA,NA,NA,NA,3,0.0612244897959184,NA,0.0128084213182789,0.168658900702301
"Anatomic site: Brain",NA,NA,NA,NA,NA,226,0.102961275626424,NA,0.98381001430879,1,NA,NA,NA,NA,NA,189,0.836283185840708,NA,0.781470565528914,0.882032400829288,NA,NA,NA,NA,NA,25,0.110619469026549,NA,0.0728788841417272,0.158954813524347,NA,NA,NA,NA,NA,12,0.0530973451327434,NA,0.0277337707600657,0.0909128957804014
"Anatomic site: Chest Wall/Breast",NA,NA,NA,NA,NA,282,0.128473804100228,NA,0.987004053353447,1,NA,NA,NA,NA,NA,220,0.780141843971631,NA,0.727209602780323,0.827081010171606,NA,NA,NA,NA,NA,48,0.170212765957447,NA,0.128248490812166,0.219263800506046,NA,NA,NA,NA,NA,14,0.049645390070922,NA,0.0274039613929606,0.0818943754161483
"Anatomic site: Head/Neck",NA,NA,NA,NA,NA,262,0.119362186788155,NA,0.986018962743599,1,NA,NA,NA,NA,NA,199,0.759541984732824,NA,0.703110492930075,0.80999816622694,NA,NA,NA,NA,NA,44,0.16793893129771,NA,0.124755236211126,0.218815792773672,NA,NA,NA,NA,NA,19,0.0725190839694656,NA,0.0442233850369117,0.110932700653272
"Anatomic site: Multiple",NA,NA,NA,NA,NA,429,0.195444191343964,NA,0.991438077222156,1,NA,NA,NA,NA,NA,323,0.752913752913753,NA,0.709271343913888,0.793028346558745,NA,NA,NA,NA,NA,66,0.153846153846154,NA,0.121026237316069,0.191527482098796,NA,NA,NA,NA,NA,40,0.0932400932400932,NA,0.0674487824112385,0.12480047437759
"Anatomic site: Pelvis",NA,NA,NA,NA,NA,303,0.138041002277904,NA,0.987899289977921,1,NA,NA,NA,NA,NA,230,0.759075907590759,NA,0.706871710871381,0.80613496942401,NA,NA,NA,NA,NA,50,0.165016501650165,NA,0.125028018136224,0.21169939362861,NA,NA,NA,NA,NA,23,0.0759075907590759,NA,0.0487252254287325,0.111722991924707
"Anatomic site: Prostate",NA,NA,NA,NA,NA,77,0.0350797266514806,NA,0.953221931839596,1,NA,NA,NA,NA,NA,58,0.753246753246753,NA,0.641788268016816,0.844432556602683,NA,NA,NA,NA,NA,16,0.207792207792208,NA,0.123690825426687,0.315391823104845,NA,NA,NA,NA,NA,3,0.038961038961039,NA,0.00810791726669392,0.109665366674522
"Anatomic site: Rib/Scapula/Sternum",NA,NA,NA,NA,NA,7,0.00318906605922551,NA,0.590383602774997,1,NA,NA,NA,NA,NA,5,0.714285714285714,NA,0.290420863737343,0.963307433823914,NA,NA,NA,NA,NA,1,0.142857142857143,NA,0.00361029686190059,0.578723197043195,NA,NA,NA,NA,NA,1,0.142857142857143,NA,0.00361029686190059,0.578723197043195
"Anatomic site: Spine",NA,NA,NA,NA,NA,118,0.0537585421412301,NA,0.969221903925855,1,NA,NA,NA,NA,NA,102,0.864406779661017,NA,0.789161876167202,0.920466484776231,NA,NA,NA,NA,NA,13,0.110169491525424,NA,0.0599806046237682,0.181023616192439,NA,NA,NA,NA,NA,3,0.0254237288135593,NA,0.005273988037601,0.0725024320242492
"Anatomic site: Thorax",NA,NA,NA,NA,NA,174,0.0792710706150342,NA,0.979022693305606,1,NA,NA,NA,NA,NA,118,0.67816091954023,NA,0.603266254496415,0.746863386551374,NA,NA,NA,NA,NA,31,0.17816091954023,NA,0.124378150728016,0.243249697250827,NA,NA,NA,NA,NA,25,0.14367816091954,NA,0.0951891858467552,0.204750420449877
"Anatomic site: Unknown",NA,NA,NA,NA,NA,144,0.0656036446469248,NA,0.974708118512483,1,NA,NA,NA,NA,NA,112,0.777777777777778,NA,0.701015778797128,0.842761096077449,NA,NA,NA,NA,NA,29,0.201388888888889,NA,0.139215529767959,0.27625154361634,NA,NA,NA,NA,NA,3,0.0208333333333333,NA,0.0043171142703967,0.0596752061204389
